FAQ_ID,Question,Answer
1,How do I reset my account password?,Go to settings and click on reset password
2,How do I refund policy for courses?,Refunds are allowed within 7 days of purchase
3,How do I download my invoice?,Invoices can be downloaded from billing section
4,How do I update my profile information?,Profile information can be updated from account settings
5,How do I payment methods are accepted?,We accept credit card debit card and UPI payments
6,How do I change registered email address?,Email address can be changed from profile settings
7,How do I cancel my subscription?,Subscriptions can be cancelled from the billing page
8,How do I update billing details?,Billing details can be updated in the billing section
9,How do I technical issue with login?,Please clear cache or reset your password
10,How do I contact customer support?,You can contact support via helpdesk or email
11,How do I reset my account password?,Go to settings and click on reset password
12,How do I refund policy for courses?,Refunds are allowed within 7 days of purchase
13,How do I download my invoice?,Invoices can be downloaded from billing section
14,How do I update my profile information?,Profile information can be updated from account settings
15,How do I payment methods are accepted?,We accept credit card debit card and UPI payments
16,How do I change registered email address?,Email address can be changed from profile settings
17,How do I cancel my subscription?,Subscriptions can be cancelled from the billing page
18,How do I update billing details?,Billing details can be updated in the billing section
19,How do I technical issue with login?,Please clear cache or reset your password
20,How do I contact customer support?,You can contact support via helpdesk or email
21,How do I reset my account password?,Go to settings and click on reset password
22,How do I refund policy for courses?,Refunds are allowed within 7 days of purchase
23,How do I download my invoice?,Invoices can be downloaded from billing section
24,How do I update my profile information?,Profile information can be updated from account settings
25,How do I payment methods are accepted?,We accept credit card debit card and UPI payments
26,How do I change registered email address?,Email address can be changed from profile settings
27,How do I cancel my subscription?,Subscriptions can be cancelled from the billing page
28,How do I update billing details?,Billing details can be updated in the billing section
29,How do I technical issue with login?,Please clear cache or reset your password
30,How do I contact customer support?,You can contact support via helpdesk or email
31,How do I reset my account password?,Go to settings and click on reset password
32,How do I refund policy for courses?,Refunds are allowed within 7 days of purchase
33,How do I download my invoice?,Invoices can be downloaded from billing section
34,How do I update my profile information?,Profile information can be updated from account settings
35,How do I payment methods are accepted?,We accept credit card debit card and UPI payments
36,How do I change registered email address?,Email address can be changed from profile settings
37,How do I cancel my subscription?,Subscriptions can be cancelled from the billing page
38,How do I update billing details?,Billing details can be updated in the billing section
39,How do I technical issue with login?,Please clear cache or reset your password
40,How do I contact customer support?,You can contact support via helpdesk or email
41,How do I reset my account password?,Go to settings and click on reset password
42,How do I refund policy for courses?,Refunds are allowed within 7 days of purchase
43,How do I download my invoice?,Invoices can be downloaded from billing section
44,How do I update my profile information?,Profile information can be updated from account settings
45,How do I payment methods are accepted?,We accept credit card debit card and UPI payments
46,How do I change registered email address?,Email address can be changed from profile settings
47,How do I cancel my subscription?,Subscriptions can be cancelled from the billing page
48,How do I update billing details?,Billing details can be updated in the billing section
49,How do I technical issue with login?,Please clear cache or reset your password
50,How do I contact customer support?,You can contact support via helpdesk or email
51,How do I reset my account password?,Go to settings and click on reset password
52,How do I refund policy for courses?,Refunds are allowed within 7 days of purchase
53,How do I download my invoice?,Invoices can be downloaded from billing section
54,How do I update my profile information?,Profile information can be updated from account settings
55,How do I payment methods are accepted?,We accept credit card debit card and UPI payments
56,How do I change registered email address?,Email address can be changed from profile settings
57,How do I cancel my subscription?,Subscriptions can be cancelled from the billing page
58,How do I update billing details?,Billing details can be updated in the billing section
59,How do I technical issue with login?,Please clear cache or reset your password
60,How do I contact customer support?,You can contact support via helpdesk or email
61,How do I reset my account password?,Go to settings and click on reset password
62,How do I refund policy for courses?,Refunds are allowed within 7 days of purchase
63,How do I download my invoice?,Invoices can be downloaded from billing section
64,How do I update my profile information?,Profile information can be updated from account settings
65,How do I payment methods are accepted?,We accept credit card debit card and UPI payments
66,How do I change registered email address?,Email address can be changed from profile settings
67,How do I cancel my subscription?,Subscriptions can be cancelled from the billing page
68,How do I update billing details?,Billing details can be updated in the billing section
69,How do I technical issue with login?,Please clear cache or reset your password
70,How do I contact customer support?,You can contact support via helpdesk or email
71,How do I reset my account password?,Go to settings and click on reset password
72,How do I refund policy for courses?,Refunds are allowed within 7 days of purchase
73,How do I download my invoice?,Invoices can be downloaded from billing section
74,How do I update my profile information?,Profile information can be updated from account settings
75,How do I payment methods are accepted?,We accept credit card debit card and UPI payments
76,How do I change registered email address?,Email address can be changed from profile settings
77,How do I cancel my subscription?,Subscriptions can be cancelled from the billing page
78,How do I update billing details?,Billing details can be updated in the billing section
79,How do I technical issue with login?,Please clear cache or reset your password
80,How do I contact customer support?,You can contact support via helpdesk or email
81,How do I reset my account password?,Go to settings and click on reset password
82,How do I refund policy for courses?,Refunds are allowed within 7 days of purchase
83,How do I download my invoice?,Invoices can be downloaded from billing section
84,How do I update my profile information?,Profile information can be updated from account settings
85,How do I payment methods are accepted?,We accept credit card debit card and UPI payments
86,How do I change registered email address?,Email address can be changed from profile settings
87,How do I cancel my subscription?,Subscriptions can be cancelled from the billing page
88,How do I update billing details?,Billing details can be updated in the billing section
89,How do I technical issue with login?,Please clear cache or reset your password
90,How do I contact customer support?,You can contact support via helpdesk or email
91,How do I reset my account password?,Go to settings and click on reset password
92,How do I refund policy for courses?,Refunds are allowed within 7 days of purchase
93,How do I download my invoice?,Invoices can be downloaded from billing section
94,How do I update my profile information?,Profile information can be updated from account settings
95,How do I payment methods are accepted?,We accept credit card debit card and UPI payments
96,How do I change registered email address?,Email address can be changed from profile settings
97,How do I cancel my subscription?,Subscriptions can be cancelled from the billing page
98,How do I update billing details?,Billing details can be updated in the billing section
99,How do I technical issue with login?,Please clear cache or reset your password
100,How do I contact customer support?,You can contact support via helpdesk or email
